context,question,answerA,answerB,answerC,label
Carson kissed Alex gently and asked if she wanted to dance at the club.,What will Alex want to do next?,skilled,lazy,needs ask Alex do dance,1
Kai gave Ash some bread and stuff from the deli to make a sandwich.,How would Ash feel as a result?,like they were nice,Grateful for the trade,Glad to be able to make a sandwich,3
Kai had got into bed and felt relaxed.,How would you describe Kai?,feeling tired,wanting to leave,content,1
Lee gave Taylor's friend a tip at the restaurant that night.,How would you describe Lee?,Cheap,Very generous,Frugal,2
Addison regarded every comment very seriously and listened to all the instructions.,How would you describe Addison?,addison was law biding,serious,contemplative,2
Bailey moved the goalposts so they could make a field goal from farther.,What will Bailey want to do next?,ease into a harder task,practice football,practice baseball,2
Austin spent all day building and re-building the art project for class. He wasn't happy with it and saw each tiny imperfection.,How would you describe Austin?,unsatisfied,only trying to do the minimum,a perfectionist about art,3
"Remy reviewed the lecture from class, and now Remy understood every word.",What will Remy want to do next?,study some more,forget the knowledge,go to class,1
Cameron was pushing her baby Aubrey in her stroller through the park. Aubrey threw toys out of the stroller.,How would Cameron feel as a result?,excited and engaged,tired of picking them up,happy and relieved,2
Lee saved Kai's car from destruction by preventing a car accident.,How would Lee feel afterwards?,a careful driver with fast reflexes,scared,like he saved Kai,1
Alex rendered Sasha's car washing service despite the rain that was soon to come.,How would Sasha feel as a result?,as generous,happy they got a pre-rain wash,angry at Alex for not saying anything,2
Bailey was Jesse's driving instructor.,What will Bailey want to do next?,take her driver's license test,practice driving,tell Jesse to turn left,3
Riley and Sasha went hiking. Sasha was more experienced and went ahead before realizing it and stopping. Riley hurried to catch up to her height on the trail.,What does Riley need to do before this?,ask Sasha to stay with them,Get some hiking boots,ask Sasha for a break,2
Taylor pissed on Jesse's bonfire to put it out before it became out of control.,What will Taylor want to do next?,get help from others,Use gasoline to put it out,Put his clothes back on,1
Sasha helped her friend Liza who was in a bad situation. Liza refused to help herself and went back to the bad situation.,How would Sasha after Liza refuses help?,caring,Hurt and frustrated,kind,2
Cameron looked at Riley expectantly when Riley said they had a gift for them.,How would you describe Cameron?,impatient to open the gift,excited to see what they got,curious about their gift,1
Kai was grounded after wrecking his mother's car so he handed back the keys.,What will Kai want to do next?,wanted to stay out of trouble,work hard at home,rent out the car,1
Jordan won a car and could not believe his luck.,How would Jordan feel afterwards?,thrilled,upset,angry,1
kai was an outrageous fool so he stole carson's tools.,How would Carson feel as a result?,as calm,out of control,as angry,3
Jordan shared their experience with the party. He lost 3 levels doing so.,What will happen to his party members?,likely gain a level,go cry,be disappointed,3
Quin did not consider that his words may have the feelings of others.,What will Others want to do next?,be best friends with Quin,Other's will not want to confide in Quin,say hurtful things to other people,2
Robin pulled Carson over for speeding and then didnt write him a ticket.,Why did Robin do this?,thought he was cute,issue a warning,hated him,2
Taylor gave roses to her friend after her friends Grandmother Rose passed away. She also gave her a card and a big hug.,What did Taylor do?,others will attend the funeral,got a new debit card,gave her friend roses,3
Quinn used a gun to murder Remy's wife while she and Remy and Remy were asleep in bed.,What will Remy want to do next?,call the police,get in the house,call the fire department,1
Skylar distributed the data in several forms without double checking the figures.,What does Skylar need to do before this?,gather the data,hand out the forms,rush things,3
Kai sat in Austin's lap for the group club photo in the yearbook.,How would you describe Kai?,self centered sometimes,wanted,a flirtatious individual,3
Austin was having a great day and felt wonderful.,What will Austin want to do next?,scowl at a stranger,smile at a stranger,enjoy it too,2
Jordan was so good at painting portraits that they made it their career.,Why did Jordan do this?,Jordan's paintings sell for a lot of money,open a gallery,save for a house,1
Kai improved Jan's work to help others understand what Jan was trying to do.,What will Jan want to do next?,get Kai a gift,yell at Kai,fire Kai,1
Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out.,What will Kendall want to do next?,watered a few of the plants,gather jars,watered a few of her pets,1
Lee gave birth to children but did not have any diapers or baby supplies.,What will Others want to do next?,go to the store,Give baby gifts to Lee,buy diapers,2
"Robin was mad at someone from work, and she lost her cool.",What will happen to Robin?,Others will be scared of Robin,Others will avoid Robin,be fired,2
Robin refused to pay her share of the meal even though everybody had agreed beforehand.,What will Others want to do next?,stop inviting Robin,take advantage,save money,1
Jan had a long intensive labor but gave birth to a daughter that day.,How would you describe Jan?,full of energy,disappointed in the result,exhausted from the labor,3
"Sydney was going to work on Aubrey's roof, so Sydney provided an estimate to Aubrey.",What does Sydney need to do before this?,get a leaf blower,get their tools,pay that much,2
Casey was supposed to buy Jordan's car but every time Casey called Jordan had an excuse. Jordan was giving Case they runaround.,What will happen to Jordan?,make more friends,won't make any money,lose money,2
Cameron arrived at the restaurant and sat at their table.,What will Cameron want to do next?,learn about food,order food,eat,2
Bailey was mad at work and then told Alex to send the letter.,How would you describe Bailey?,commanding,careless all day today,under high pressure at work,3
Tracy went to a restaurant for her birthday. Afterwards she went home with her friends.,How would you describe Tracy?,a social person who likes special occasion,an introvert that rarely leaves her house,a person that likes to avoid her birthday,1
Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run.,How would Others feel as a result?,unsociable,excited,friendly,3
Jesse said something mean to Riley and Riley regarded them with hurtful eyes.,What will Riley want to do next?,Get an apology,going to apologize,going to be remorseful,1
Austin blew a huge cloud of smoke into the air in front of all their friends.,Why did Austin do this?,wanted to quit smoking,put out a cigarette,wanted to show off their new vape,3
Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap.,Why did Jordan do this?,show that he only needed one leg,needed to have a surf board,not show others he was suffering,3
Kendall had two kids and didn't want to take care of them so they dropped the kids off at a fire station.,How would Kendall's kids feel as a result?,hurt,wanted,grateful,1
Ash used metaphor and meaning through out his book.,How would Ash feel afterwards?,talented,Like they expressed their thoughts,creative,3
"Casey finds a baby kitten outside during a bad storm. It cries all night for it's mother, the next morning Casey wants to help the kitten.",What will Casey want to do next?,leave it home to go to work,feed the kitten,try to find the mother cat,3
"Even though they were quite embarrassed to miss a problem in front of the entire class, Quinn stood corrected after their mistake.",How would you describe Quinn?,disingenuous and dishonest,confident and admirable,embarrassed,2
Austin sat on Bailey's lap because all the other chairs were taken.,How would Austin feel afterwards?,feeling shocked,funny,feeling loved,3
"Skylar wasn't certain that they had turned off the stove, so they went back to check.",What does Skylar need to do before this?,anxious,needed to have turned on the toaster,good,1
"Sydney was being mean to people, but she felt bad afterwards.",How would Sydney feel afterwards?,like she was very mean to everyone,sorry,regretful,3
"After getting a feedback from their boss, Addison took their advice very seriously.",How would you describe Addison?,expecting the boss to be a good listener,serious,a good listener,3
Sasha got revenge on her sister for stealing her first boyfriend of two years.,How would you describe Sasha?,High confidence,Distraught for it,Great for it,2
Jan took the kids to NYC and the saw a Broadway play with the others.,What will Others want to do next?,critique the play,purchase tickets,travel to NYC,1
Tracy received a promotion after she worked long hard hours for the past few months.,What will Tracy want to do next?,quit her job to travel,take a vacation,focus on work,2
Tracy gave it to their friend because they weren't going to need it anymore.,What does Tracy need to do before this?,Find the friend,Ask why,make sure their friend will want it,3
"Even though Ash already knew about the surprise party, Ash threw up their arms anyway, acting surprised to make the kids happy.",How would you describe Ash?,Surprised by the people at the party,glad to please the children,A person who can act the part if needed,3
Addison had taken Casey's money without her permission. Addison knew she may get in trouble for this.,What will Addison want to do next?,give the money back to Casey,burn the money so no one can find it,spend the money before she gets caught,1
Sydney wanted to be a doctor so they knew that they had to work very hard in school to get the right grades to get in to university to study medicine.,How would Others feel as a result?,Others were bored of Sydney,Others were proud of Sydney,Others were unimpressed by Sydney's dedication,2
Robin walked the same route to school with Jan's friends.,What will happen to Robin?,be bullied by Jan's friends,be ignored by Jan's friends,get to know Jan's friends,3
Riley proved she was the best of friends by buying her buddies an expensive dinner.,How would Others feel as a result?,Others would agree that Riley likes to eat,Others would agree that Riley treats others well,loved,3
Taylor attended Lee's father's funeral and offered support before leaving.,What will Lee want to do next?,go out to eat next,leave the funeral next,take a nap next,2
jesse paid another team member to throw the match because they had a lot of money on the game.,What will Others want to do next?,fail on purpose,make money,make a profit,1
"Ash was going to Hawaii on a vacation all by herself, so her husband Jesse drove Ash to the airport.",What will happen to Ash and Jesse?,get in a huge fight,relax at home for the week,wave goodbye to one another,3
Quinn afforded every nice meal after getting a substantial raise at work.,What does Quinn need to do before this?,be productive,be lazy,work little,1
Alex grabbed both of their girlfriend's breast when they were having sex for the first time.,What will happen to his girlfriend?,angry,sad,happy,3
Alex left after he spilled some cream soda on the ground in the kitchen area.,Why did Alex do this?,escape trouble,Get some cream soda,Be careless with soda,1
Addison kept their kids well behaved and taught them good manors.,What will Others want to do next?,raise their kids to be good adults,ask their kids to behave,be well manored as well,3
Robin got gas at the gas station and payed for what they bought.,How would you describe Robin?,worried,Someone that has fuel,Someone that asked about fuel,2
