prompt,target
"Question: A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?
Choices: A) bank B) library C) department store D) mall E) new york
Answer:",A
"Question: What do people aim to do at work?
Choices: A) complete job B) learn from each other C) kill animals D) wear hats E) talk to each other
Answer:",A
"Question: Where would you find magazines along side many other printed works?
Choices: A) doctor B) bookstore C) market D) train station E) mortuary
Answer:",B
"Question: Where are  you likely to find a hamburger?
Choices: A) fast food restaurant B) pizza C) ground up dead cows D) mouth E) cow carcus
Answer:",A
"Question: James was looking for a good place to buy farmland.  Where might he look?
Choices: A) midwest B) countryside C) estate D) farming areas E) illinois
Answer:",A
"Question: What island country is ferret popular?
Choices: A) own home B) north carolina C) great britain D) hutch E) outdoors
Answer:",C
"Question: In what Spanish speaking North American country can you get a great cup of coffee?
Choices: A) mildred's coffee shop B) mexico C) diner D) kitchen E) canteen
Answer:",B
"Question: What do animals do when an enemy is approaching?
Choices: A) feel pleasure B) procreate C) pass water D) listen to each other E) sing
Answer:",D
"Question: Reading newspaper one of many ways to practice your what?
Choices: A) literacy B) knowing how to read C) money D) buying E) money bank
Answer:",A
"Question: What do people typically do while playing guitar?
Choices: A) cry B) hear sounds C) singing D) arthritis E) making music
Answer:",C
"Question: What would vinyl be an odd thing to replace?
Choices: A) pants B) record albums C) record store D) cheese E) wallpaper
Answer:",E
"Question: If you want harmony, what is something you should try to do with the world?
Choices: A) take time B) make noise C) make war D) make peace E) make haste
Answer:",D
"Question: Where does a heifer's master live?
Choices: A) farm house B) barnyard C) stockyard D) slaughter house E) eat cake
Answer:",A
"Question: Aside from water and nourishment what does your dog need?
Choices: A) bone B) charm C) petted D) lots of attention E) walked
Answer:",D
"Question: Janet was watching the film because she liked what?
Choices: A) erection B) laughter C) being entertained D) fear E) bordem
Answer:",C
"Question: What are you waiting alongside with when you're in a reception area?
Choices: A) motel B) chair C) hospital D) people E) hotels
Answer:",D
"Question: When drinking booze what can you do to stay busy?
Choices: A) reach tentative agreement B) stay in bed C) stop bicycle D) examine thing E) suicide
Answer:",D
